"","X","Combo","Record","leadGram","gram"
"19782",244685,"be a priority in",2,"be a priority","in"
"19783",244737,"chose to go with",2,"chose to go","with"
"19784",244775,"wanted to make a",2,"wanted to make","a"
"19785",244832,"that will be a",2,"that will be","a"
"19786",244894,"never seem to be",2,"never seem to","be"
"19787",245002,"it is the fact",2,"it is the","fact"
"19788",245031,"is a very different",2,"is a very","different"
"19789",245143,"it boils down to",2,"it boils down","to"
"19790",245155,"it is very hard",2,"it is very","hard"
"19791",245165,"hath covered my face",2,"hath covered my","face"
"19792",245169,"shamelessness hath covered my",2,"shamelessness hath covered","my"
"19793",245204,"sake of god thou",2,"sake of god","thou"
"19794",245233,"to this end he",2,"to this end","he"
"19795",245276,"book of the living",2,"book of the","living"
"19796",245319,"sign of the cross",2,"sign of the","cross"
"19797",245320,"the sign of the",2,"the sign of","the"
"19798",245427,"they were a little",2,"they were a","little"
"19799",245444,"i didnt know the",2,"i didnt know","the"
"19800",245445,"i turned to him",2,"i turned to","him"
"19801",245448,"next to me and",2,"next to me","and"
"19802",245452,"the person next to",2,"the person next","to"
"19803",245454,"turned to him and",2,"turned to him","and"
"19804",245486,"it speaks to the",2,"it speaks to","the"
"19805",245528,"a sign that said",2,"a sign that","said"
"19806",245536,"there was a sign",2,"there was a","sign"
"19807",245575,"lost track of time",2,"lost track of","time"
"19808",245578,"time and i got",2,"time and i","got"
"19809",245593,"for the debate club",2,"for the debate","club"
"19810",245640,"her she was doing",2,"her she was","doing"
"19811",245656,"we were at our",2,"we were at","our"
"19812",245660,"had to be there",2,"had to be","there"
"19813",245705,"didnt need to be",2,"didnt need to","be"
"19814",245781,"want to have to",2,"want to have","to"
"19815",245807,"although i will admit",2,"although i will","admit"
"19816",245827,"when i have been",2,"when i have","been"
"19817",245864,"im getting a little",2,"im getting a","little"
"19818",245871,"and desire of the",2,"and desire of","the"
"19819",245989,"the nation and its",2,"the nation and","its"
"19820",246047,"in the end everything",2,"in the end","everything"
"19821",246049,"me it was a",2,"me it was","a"
"19822",246094,"the perfect place for",2,"the perfect place","for"
"19823",246095,"was the perfect place",2,"was the perfect","place"
"19824",246114,"that we dont just",2,"that we dont","just"
"19825",246130,"to make a difference",2,"to make a","difference"
"19826",246162,"we can make a",2,"we can make","a"
"19827",246175,"to care for them",2,"to care for","them"
"19828",246222,"i cant believe its",2,"i cant believe","its"
"19829",246243,"all french women are",2,"all french women","are"
"19830",246248,"french women are thin",2,"french women are","thin"
"19831",246269,"to have anything to",2,"to have anything","to"
"19832",246320,"features some of the",2,"features some of","the"
"19833",246568,"it up and make",2,"it up and","make"
"19834",246574,"than i already do",2,"than i already","do"
"19835",246577,"best i can with",2,"best i can","with"
"19836",246578,"can with what i",2,"can with what","i"
"19837",246579,"doing the best i",2,"doing the best","i"
"19838",246581,"i can with what",2,"i can with","what"
"19839",246585,"with what i have",2,"with what i","have"
"19840",246723,"is at the forefront",2,"is at the","forefront"
"19841",246745,"i was having some",2,"i was having","some"
"19842",246756,"idea what the problem",2,"idea what the","problem"
"19843",246775,"go to sleep and",2,"go to sleep","and"
"19844",246794,"were going to the",2,"were going to","the"
"19845",246798,"the pain was so",2,"the pain was","so"
"19846",246799,"the way there the",2,"the way there","the"
"19847",246803,"a bad case of",2,"a bad case","of"
"19848",246875,"happens for a reason",2,"happens for a","reason"
"19849",246878,"that what happens to",2,"that what happens","to"
"19850",247030,"what i felt i",2,"what i felt","i"
"19851",247047,"and a very good",2,"and a very","good"
"19852",247099,"and look at it",2,"and look at","it"
"19853",247137,"i told my mom",2,"i told my","mom"
"19854",247147,"trying to eat my",2,"trying to eat","my"
"19855",247214,"just par for the",2,"just par for","the"
"19856",247215,"par for the course",2,"par for the","course"
"19857",247241,"my personal sustainability promise",2,"my personal sustainability","promise"
"19858",247274,"the problem with the",2,"the problem with","the"
"19859",247311,"would love to tell",2,"would love to","tell"
"19860",247313,"a little girl i",2,"a little girl","i"
"19861",247341,"i was very eager",2,"i was very","eager"
"19862",247349,"was very eager to",2,"was very eager","to"
"19863",247373,"top of my list",2,"top of my","list"
"19864",247392,"even if im not",2,"even if im","not"
"19865",247407,"if i get to",2,"if i get","to"
"19866",247446,"a simple matter of",2,"a simple matter","of"
"19867",247483,"and see what you",2,"and see what","you"
"19868",247488,"see what you want",2,"see what you","want"
"19869",247501,"much as i enjoy",2,"much as i","enjoy"
"19870",247502,"this as much as",2,"this as much","as"
"19871",247507,"i sought out a",2,"i sought out","a"
"19872",247531,"more about that later",2,"more about that","later"
"19873",247563,"see which one i",2,"see which one","i"
"19874",247648,"the best for last",2,"the best for","last"
"19875",247684,"to talk about is",2,"to talk about","is"
"19876",247692,"it hard to hear",2,"it hard to","hear"
"19877",247740,"the other hand are",2,"the other hand","are"
"19878",247783,"not important to me",2,"not important to","me"
"19879",247796,"money is so tight",2,"money is so","tight"
"19880",247818,"about three weeks ago",2,"about three weeks","ago"
"19881",247892,"i could give you",2,"i could give","you"
"19882",247911,"but i will try",2,"but i will","try"
"19883",247918,"into words but i",2,"into words but","i"
"19884",247921,"words but i will",2,"words but i","will"
"19885",247939,"content in the present",2,"content in the","present"
"19886",247975,"about seven years old",2,"about seven years","old"
"19887",248000,"different from the others",2,"different from the","others"
"19888",248036,"like to make a",2,"like to make","a"
"19889",248038,"me and i will",2,"me and i","will"
"19890",248045,"because i know its",2,"because i know","its"
"19891",248049,"i know its going",2,"i know its","going"
"19892",248083,"be able to repay",2,"be able to","repay"
"19893",248088,"we will never be",2,"we will never","be"
"19894",248102,"as it was for",2,"as it was","for"
"19895",248126,"strength in the face",2,"strength in the","face"
"19896",248134,"of them and it",2,"of them and","it"
"19897",248152,"do we have to",2,"do we have","to"
"19898",248249,"it and we all",2,"it and we","all"
"19899",248320,"are in this world",2,"are in this","world"
"19900",248321,"are what you are",2,"are what you","are"
"19901",248322,"either one of two",2,"either one of","two"
"19902",248323,"in this world thats",2,"in this world","thats"
"19903",248324,"of two things either",2,"of two things","either"
"19904",248326,"see you are what",2,"see you are","what"
"19905",248327,"thats either one of",2,"thats either one","of"
"19906",248328,"things either youre somebody",2,"things either youre","somebody"
"19907",248329,"this world thats either",2,"this world thats","either"
"19908",248330,"two things either youre",2,"two things either","youre"
"19909",248331,"what you are in",2,"what you are","in"
"19910",248332,"world thats either one",2,"world thats either","one"
"19911",248333,"you are in this",2,"you are in","this"
"19912",248334,"you are what you",2,"you are what","you"
"19913",248364,"what you gonna do",2,"what you gonna","do"
"19914",248383,"because no one else",2,"because no one","else"
"19915",248389,"no one else would",2,"no one else","would"
"19916",248390,"one else would do",2,"one else would","do"
"19917",248402,"it all the more",2,"it all the","more"
"19918",248466,"i then told him",2,"i then told","him"
"19919",248478,"but do you know",2,"but do you","know"
"19920",248479,"do you know what",2,"do you know","what"
"19921",248504,"another area of the",2,"another area of","the"
"19922",248534,"and i pretty much",2,"and i pretty","much"
"19923",248742,"and they were all",2,"and they were","all"
"19924",248753,"they were all in",2,"they were all","in"
"19925",248793,"will be easy for",2,"will be easy","for"
"19926",248809,"and the good news",2,"and the good","news"
"19927",248823,"in all this is",2,"in all this","is"
"19928",248827,"this is that i",2,"this is that","i"
"19929",248830,"and i have already",2,"and i have","already"
"19930",248852,"just because i dont",2,"just because i","dont"
"19931",248862,"is that im not",2,"is that im","not"
"19932",248968,"bump in the road",2,"bump in the","road"
"19933",248970,"felt more like a",2,"felt more like","a"
"19934",248999,"a legal right to",2,"a legal right","to"
"19935",249211,"this is an excellent",2,"this is an","excellent"
"19936",249330,"to be rid of",2,"to be rid","of"
"19937",249348,"months ago i came",2,"months ago i","came"
"19938",249355,"a few people at",2,"a few people","at"
"19939",249358,"i see a few",2,"i see a","few"
"19940",249369,"decided to try again",2,"decided to try","again"
"19941",249373,"it in a box",2,"it in a","box"
"19942",249378,"helped me with the",2,"helped me with","the"
"19943",249466,"either hot or cold",2,"either hot or","cold"
"19944",249505,"side of the spectrum",2,"side of the","spectrum"
"19945",249527,"while youre at it",2,"while youre at","it"
"19946",249554,"through the stages of",2,"through the stages","of"
"19947",249617,"stuck my hand in",2,"stuck my hand","in"
"19948",249623,"i did notice the",2,"i did notice","the"
"19949",249764,"he needs to be",2,"he needs to","be"
"19950",249770,"to be woken up",2,"to be woken","up"
"19951",249813,"so i made my",2,"so i made","my"
"19952",249831,"it results in a",2,"it results in","a"
"19953",250032,"in at the age",2,"in at the","age"
"19954",250130,"to the edges of",2,"to the edges","of"
"19955",250176,"with the swearjarle of",2,"with the swearjarle","of"
"19956",250202,"a matter of seconds",2,"a matter of","seconds"
"19957",250234,"a really long time",2,"a really long","time"
"19958",250244,"know i have been",2,"know i have","been"
"19959",250246,"my blog for a",2,"my blog for","a"
"19960",250250,"have been going on",2,"have been going","on"
"19961",250257,"past couple of months",2,"past couple of","months"
"19962",250318,"we do not have",2,"we do not","have"
"19963",250378,"a lot of their",2,"a lot of","their"
"19964",250412,"for the next two",2,"for the next","two"
"19965",250574,"i love to do",2,"i love to","do"
"19966",250631,"to gain access to",2,"to gain access","to"
"19967",250642,"gichuki was able to",2,"gichuki was able","to"
"19968",250721,"up straight in bed",2,"up straight in","bed"
"19969",250725,"dont spend much time",2,"dont spend much","time"
"19970",250731,"much time in the",2,"much time in","the"
"19971",250794,"want our kids to",2,"want our kids","to"
"19972",250818,"for the majority of",2,"for the majority","of"
"19973",250976,"for this reason some",2,"for this reason","some"
"19974",251010,"you go to my",2,"you go to","my"
"19975",251028,"it was at that",2,"it was at","that"
"19976",251035,"to make a conscious",2,"to make a","conscious"
"19977",251036,"was at that point",2,"was at that","point"
"19978",251096,"headed to the hospital",2,"headed to the","hospital"
"19979",251117,"and play with all",2,"and play with","all"
"19980",251121,"for you to come",2,"for you to","come"
"19981",251126,"we cant wait for",2,"we cant wait","for"
"19982",251141,"is characteristic of the",2,"is characteristic of","the"
"19983",251150,"the language of the",2,"the language of","the"
"19984",251306,"of several of the",2,"of several of","the"
"19985",251489,"we had a very",2,"we had a","very"
"19986",251510,"that the words of",2,"that the words","of"
"19987",251516,"he might not come",2,"he might not","come"
"19988",251547,"the whole concept of",2,"the whole concept","of"
"19989",251552,"i wonder if its",2,"i wonder if","its"
"19990",251574,"the magnitude of the",2,"the magnitude of","the"
"19991",251593,"are out there in",2,"are out there","in"
"19992",251605,"that are out there",2,"that are out","there"
"19993",251661,"of the twentieth century",2,"of the twentieth","century"
"19994",251667,"was a very complex",2,"was a very","complex"
"19995",251677,"when we come to",2,"when we come","to"
"19996",251682,"he did not believe",2,"he did not","believe"
"19997",251691,"the things that we",2,"the things that","we"
"19998",251695,"a visit for the",2,"a visit for","the"
"19999",251707,"well worth a visit",2,"well worth a","visit"
"20000",251708,"worth a visit for",2,"worth a visit","for"
"20001",251819,"desires of the sinful",2,"desires of the","sinful"
"20002",251825,"the desires of the",2,"the desires of","the"
"20003",251848,"the supervision of the",2,"the supervision of","the"
"20004",251849,"them that they are",2,"them that they","are"
"20005",251851,"told them that they",2,"told them that","they"
"20006",251872,"the acts of the",2,"the acts of","the"
"20007",251903,"have more than one",2,"have more than","one"
"20008",251924,"life no matter how",2,"life no matter","how"
"20009",251993,"when i would be",2,"when i would","be"
"20010",252039,"ever get the feeling",2,"ever get the","feeling"
"20011",252045,"setting you up for",2,"setting you up","for"
"20012",252048,"you ever get the",2,"you ever get","the"
"20013",252053,"every now and again",2,"every now and","again"
"20014",252102,"today i have a",2,"today i have","a"
"20015",252199,"we had never heard",2,"we had never","heard"
"20016",252200,"were told that they",2,"were told that","they"
"20017",252224,"for four months and",2,"for four months","and"
"20018",252234,"as possible and then",2,"as possible and","then"
"20019",252240,"is to get him",2,"is to get","him"
"20020",252260,"i was in total",2,"i was in","total"
"20021",252262,"it up on the",2,"it up on","the"
"20022",252266,"up on the internet",2,"up on the","internet"
"20023",252288,"can only be a",2,"can only be","a"
"20024",252289,"going to let us",2,"going to let","us"
"20025",252306,"have fond memories of",2,"have fond memories","of"
"20026",252308,"i have fond memories",2,"i have fond","memories"
"20027",252323,"than that dealing with",2,"than that dealing","with"
"20028",252351,"stepped up to the",2,"stepped up to","the"
"20029",252353,"to the counter and",2,"to the counter","and"
"20030",252505,"beginning of our trip",2,"beginning of our","trip"
"20031",252519,"at the beginning and",2,"at the beginning","and"
"20032",252548,"the wind and the",2,"the wind and","the"
"20033",252554,"in a soup pot",2,"in a soup","pot"
"20034",252573,"until golden brown on",2,"until golden brown","on"
"20035",252577,"but not browned about",2,"but not browned","about"
"20036",252581,"not browned about minutes",2,"not browned about","minutes"
"20037",252584,"tender but not browned",2,"tender but not","browned"
"20038",252635,"an israelite indeed in",2,"an israelite indeed","in"
"20039",252637,"behold an israelite indeed",2,"behold an israelite","indeed"
"20040",252638,"coming to him and",2,"coming to him","and"
"20041",252640,"him behold an israelite",2,"him behold an","israelite"
"20042",252641,"in whom is no",2,"in whom is","no"
"20043",252642,"indeed in whom is",2,"indeed in whom","is"
"20044",252643,"israelite indeed in whom",2,"israelite indeed in","whom"
"20045",252644,"jesus saw nathanael coming",2,"jesus saw nathanael","coming"
"20046",252645,"nathanael coming to him",2,"nathanael coming to","him"
"20047",252646,"of him behold an",2,"of him behold","an"
"20048",252648,"saw nathanael coming to",2,"saw nathanael coming","to"
"20049",252650,"whom is no guile",2,"whom is no","guile"
"20050",252664,"you when you were",2,"you when you","were"
"20051",252668,"him because i said",2,"him because i","said"
"20052",252739,"reflection in the mirror",2,"reflection in the","mirror"
"20053",252752,"prove to be the",2,"prove to be","the"
"20054",252758,"will prove to be",2,"will prove to","be"
"20055",252760,"and of course there",2,"and of course","there"
"20056",252764,"of course there was",2,"of course there","was"
"20057",252856,"i can get it",2,"i can get","it"
"20058",252871,"life is full of",2,"life is full","of"
"20059",252910,"i have nothing that",2,"i have nothing","that"
"20060",252946,"as you can be",2,"as you can","be"
"20061",252953,"spit up all over",2,"spit up all","over"
"20062",252958,"you can be with",2,"you can be","with"
"20063",252974,"a little on the",2,"a little on","the"
"20064",253011,"to and from work",2,"to and from","work"
"20065",253027,"and i talk about",2,"and i talk","about"
"20066",253033,"plans for the day",2,"plans for the","day"
"20067",253037,"the way to school",2,"the way to","school"
"20068",253054,"only when we are",2,"only when we","are"
"20069",253059,"that takes place in",2,"that takes place","in"
"20070",253062,"are the laws of",2,"are the laws","of"
"20071",253117,"back into the ocean",2,"back into the","ocean"
"20072",253141,"the mark is not",2,"the mark is","not"
"20073",253152,"the composition of the",2,"the composition of","the"
"20074",253153,"the intention of the",2,"the intention of","the"
"20075",253191,"of you know i",2,"of you know","i"
"20076",253309,"of every day of",2,"of every day","of"
"20077",253382,"i went through so",2,"i went through","so"
"20078",253396,"went through so many",2,"went through so","many"
"20079",253440,"even if i do",2,"even if i","do"
"20080",253450,"i went in for",2,"i went in","for"
"20081",253479,"i go in there",2,"i go in","there"
"20082",253482,"in the store that",2,"in the store","that"
"20083",253570,"where i wanted to",2,"where i wanted","to"
"20084",253576,"i may have been",2,"i may have","been"
"20085",253583,"he said i want",2,"he said i","want"
"20086",253584,"i told you this",2,"i told you","this"
"20087",253647,"in for good measure",2,"in for good","measure"
"20088",253655,"thrown in for good",2,"thrown in for","good"
"20089",253712,"to use in my",2,"to use in","my"
"20090",253811,"having a difficult time",2,"having a difficult","time"
"20091",253812,"is having a difficult",2,"is having a","difficult"
"20092",253817,"of being a mom",2,"of being a","mom"
"20093",253836,"and there you have",2,"and there you","have"
"20094",253845,"you have it the",2,"you have it","the"
"20095",253899,"at the date on",2,"at the date","on"
"20096",253936,"try out my new",2,"try out my","new"
"20097",253989,"as though i have",2,"as though i","have"
"20098",254008,"it back and forth",2,"it back and","forth"
"20099",254023,"when they had the",2,"when they had","the"
"20100",254193,"get a new camera",2,"get a new","camera"
"20101",254210,"for the last couple",2,"for the last","couple"
"20102",254282,"i always thought of",2,"i always thought","of"
"20103",254313,"be done about it",2,"be done about","it"
"20104",254318,"i also know they",2,"i also know","they"
"20105",254341,"we wanted to be",2,"we wanted to","be"
"20106",254348,"made all the difference",2,"made all the","difference"
"20107",254430,"if i have the",2,"if i have","the"
"20108",254455,"this world we are",2,"this world we","are"
"20109",254494,"and the effect it",2,"and the effect","it"
"20110",254498,"i could not take",2,"i could not","take"
"20111",254546,"gave his only begotten",2,"gave his only","begotten"
"20112",254548,"he gave his only",2,"he gave his","only"
"20113",254549,"his only begotten son",2,"his only begotten","son"
"20114",254550,"i believe that god",2,"i believe that","god"
"20115",254553,"so much that he",2,"so much that","he"
"20116",254555,"that he gave his",2,"that he gave","his"
"20117",254559,"a visit to my",2,"a visit to","my"
"20118",254596,"is not enough to",2,"is not enough","to"
"20119",254601,"the fact that tv",2,"the fact that","tv"
"20120",254618,"into the other room",2,"into the other","room"
"20121",254619,"on the set i",2,"on the set","i"
"20122",254632,"im not the kind",2,"im not the","kind"
"20123",254717,"which is such a",2,"which is such","a"
"20124",254719,"apparently i am not",2,"apparently i am","not"
"20125",254732,"do so in this",2,"do so in","this"
"20126",254748,"the mindset of a",2,"the mindset of","a"
"20127",254753,"was trying to convey",2,"was trying to","convey"
"20128",254914,"by how much i",2,"by how much","i"
"20129",254916,"how much i am",2,"how much i","am"
"20130",254978,"or that he was",2,"or that he","was"
"20131",254996,"and headed into the",2,"and headed into","the"
"20132",254998,"getting out of the",2,"getting out of","the"
"20133",255022,"i went back out",2,"i went back","out"
"20134",255105,"just a case of",2,"just a case","of"
"20135",255135,"of most of the",2,"of most of","the"
"20136",255137,"she doesnt have any",2,"she doesnt have","any"
"20137",255181,"the time has come",2,"the time has","come"
"20138",255250,"when you turn the",2,"when you turn","the"
"20139",255256,"goes way beyond the",2,"goes way beyond","the"
"20140",255308,"the reality of god",2,"the reality of","god"
"20141",255309,"this is a pragmatic",2,"this is a","pragmatic"
"20142",255310,"to stand in the",2,"to stand in","the"
"20143",255353,"into more of a",2,"into more of","a"
"20144",255403,"at the cinema i",2,"at the cinema","i"
"20145",255417,"and then go off",2,"and then go","off"
"20146",255440,"i believe there are",2,"i believe there","are"
"20147",255487,"can be applied to",2,"can be applied","to"
"20148",255592,"and concern for the",2,"and concern for","the"
"20149",255634,"it much better than",2,"it much better","than"
"20150",255636,"much better than i",2,"much better than","i"
"20151",255655,"but so many of",2,"but so many","of"
"20152",255692,"if you know you",2,"if you know","you"
"20153",255707,"the vanilla ice cream",2,"the vanilla ice","cream"
"20154",255729,"has made no progress",2,"has made no","progress"
"20155",255739,"the first generation in",2,"the first generation","in"
"20156",255920,"it is a state",2,"it is a","state"
"20157",256024,"and allows himself to",2,"and allows himself","to"
"20158",256176,"let the fact that",2,"let the fact","that"
"20159",256211,"a pot to piss",2,"a pot to","piss"
"20160",256222,"pot to piss in",2,"pot to piss","in"
"20161",256256,"i stumbled across a",2,"i stumbled across","a"
"20162",256261,"are certain of god",2,"are certain of","god"
"20163",256273,"we are certain of",2,"we are certain","of"
"20164",256293,"will be but we",2,"will be but","we"
"20165",256329,"through one of the",2,"through one of","the"
"20166",256344,"a change in nigeria",2,"a change in","nigeria"
"20167",256437,"movie but he did",2,"movie but he","did"
"20168",256441,"the movie but he",2,"the movie but","he"
"20169",256469,"if it is difficult",2,"if it is","difficult"
"20170",256484,"to paint a picture",2,"to paint a","picture"
"20171",256526,"trained to be an",2,"trained to be","an"
"20172",256554,"is the concept of",2,"is the concept","of"
"20173",256575,"had been a long",2,"had been a","long"
"20174",256589,"it and i have",2,"it and i","have"
"20175",256594,"and the thought of",2,"and the thought","of"
"20176",256626,"will ever be ok",2,"will ever be","ok"
"20177",256630,"of the reasons that",2,"of the reasons","that"
"20178",256720,"explosions and gun clicks",2,"explosions and gun","clicks"
"20179",256792,"there and i was",2,"there and i","was"
"20180",256847,"are also going to",2,"are also going","to"
"20181",256881,"with her mother and",2,"with her mother","and"
"20182",256919,"dont want her to",2,"dont want her","to"
"20183",256931,"want her to go",2,"want her to","go"
"20184",256969,"the age of five",2,"the age of","five"
"20185",256982,"took part in the",2,"took part in","the"
"20186",256986,"i think my husband",2,"i think my","husband"
"20187",256995,"how am i going",2,"how am i","going"
"20188",256996,"i going to live",2,"i going to","live"
"20189",257107,"though there are a",2,"though there are","a"
"20190",257407,"real to me as",2,"real to me","as"
"20191",257412,"is a story about",2,"is a story","about"
"20192",257447,"that you can be",2,"that you can","be"
"20193",257491,"up the idea of",2,"up the idea","of"
"20194",257502,"we now have a",2,"we now have","a"
"20195",257564,"but it has a",2,"but it has","a"
"20196",257659,"in the uk but",2,"in the uk","but"
"20197",257733,"i believe in the",2,"i believe in","the"
"20198",257740,"the history of television",2,"the history of","television"
"20199",257818,"he wanted to try",2,"he wanted to","try"
"20200",257875,"what we didnt know",2,"what we didnt","know"
"20201",257887,"i went through a",2,"i went through","a"
"20202",257922,"on down the road",2,"on down the","road"
"20203",257949,"me tell you about",2,"me tell you","about"
"20204",257950,"now let me tell",2,"now let me","tell"
"20205",257959,"i was prepared for",2,"i was prepared","for"
"20206",257997,"make up a batch",2,"make up a","batch"
"20207",258002,"up a batch of",2,"up a batch","of"
"20208",258003,"you have got to",2,"you have got","to"
"20209",258020,"end of this post",2,"end of this","post"
"20210",258071,"coming from the right",2,"coming from the","right"
"20211",258097,"she wants to know",2,"she wants to","know"
"20212",258230,"about an hour away",2,"about an hour","away"
"20213",258259,"out it was a",2,"out it was","a"
"20214",258277,"was supposed to start",2,"was supposed to","start"
"20215",258307,"had a moment of",2,"had a moment","of"
"20216",258330,"made it difficult to",2,"made it difficult","to"
"20217",258343,"they were saying but",2,"they were saying","but"
"20218",258344,"understand what they were",2,"understand what they","were"
"20219",258359,"and be a part",2,"and be a","part"
"20220",258388,"out what they were",2,"out what they","were"
"20221",258509,"i used it to",2,"i used it","to"
"20222",258578,"my first and only",2,"my first and","only"
"20223",258589,"i discovered that i",2,"i discovered that","i"
"20224",258625,"for over an hour",2,"for over an","hour"
"20225",258639,"just wanted to talk",2,"just wanted to","talk"
"20226",258658,"the door and have",2,"the door and","have"
"20227",258671,"want to learn more",2,"want to learn","more"
"20228",258673,"you want to learn",2,"you want to","learn"
"20229",258872,"that he was very",2,"that he was","very"
"20230",258875,"us that he was",2,"us that he","was"
"20231",258903,"when i read the",2,"when i read","the"
"20232",258924,"i will do the",2,"i will do","the"
"20233",258953,"from the other side",2,"from the other","side"
"20234",259028,"the things you did",2,"the things you","did"
"20235",259047,"to have so many",2,"to have so","many"
"20236",259194,"a great reminder that",2,"a great reminder","that"
"20237",259202,"was a great reminder",2,"was a great","reminder"
"20238",259217,"this year i am",2,"this year i","am"
"20239",259218,"to give my kids",2,"to give my","kids"
"20240",259303,"have done the trick",2,"have done the","trick"
"20241",259373,"to the forefront of",2,"to the forefront","of"
"20242",259386,"this is the deepest",2,"this is the","deepest"
"20243",259394,"more important than ever",2,"more important than","ever"
"20244",259470,"and wanted to get",2,"and wanted to","get"
"20245",259484,"wanted to get me",2,"wanted to get","me"
"20246",259495,"to me that this",2,"to me that","this"
"20247",259510,"amount of time in",2,"amount of time","in"
"20248",259518,"of time in a",2,"of time in","a"
"20249",259638,"you see how the",2,"you see how","the"
"20250",259711,"but what do you",2,"but what do","you"
"20251",259738,"members of the opposite",2,"members of the","opposite"
"20252",259747,"you more attractive to",2,"you more attractive","to"
"20253",259898,"but its been a",2,"but its been","a"
"20254",259973,"as i remember it",2,"as i remember","it"
"20255",259986,"i think thats a",2,"i think thats","a"
"20256",259995,"be the other way",2,"be the other","way"
"20257",260032,"we had to stop",2,"we had to","stop"
"20258",260057,"at one of our",2,"at one of","our"
"20259",260063,"i even had to",2,"i even had","to"
"20260",260099,"note to self when",2,"note to self","when"
"20261",260191,"of all of this",2,"of all of","this"
"20262",260269,"i have seen that",2,"i have seen","that"
"20263",260295,"i had a big",2,"i had a","big"
"20264",260298,"roommate and i had",2,"roommate and i","had"
"20265",260308,"see no reason to",2,"see no reason","to"
"20266",260352,"but i look at",2,"but i look","at"
"20267",260356,"i would look at",2,"i would look","at"
"20268",260396,"it was probably the",2,"it was probably","the"
"20269",260444,"he wants to talk",2,"he wants to","talk"
"20270",260451,"wants to talk to",2,"wants to talk","to"
"20271",260459,"that he was the",2,"that he was","the"
"20272",260500,"even in our own",2,"even in our","own"
"20273",260548,"of the world have",2,"of the world","have"
"20274",260560,"not even sure how",2,"not even sure","how"
"20275",260647,"to have on the",2,"to have on","the"
"20276",260652,"he was asked by",2,"he was asked","by"
"20277",260653,"how he would make",2,"how he would","make"
"20278",260659,"when the time came",2,"when the time","came"
"20279",260667,"to his wife and",2,"to his wife","and"
"20280",260680,"a man in the",2,"a man in","the"
"20281",260686,"in the charge office",2,"in the charge","office"
"20282",260709,"of the officers in",2,"of the officers","in"
"20283",260712,"one of the officers",2,"one of the","officers"
"20284",260781,"going to want to",2,"going to want","to"
"20285",260784,"to want to do",2,"to want to","do"
"20286",260787,"get something out of",2,"get something out","of"
"20287",260790,"something out of it",2,"something out of","it"
"20288",260791,"to get something out",2,"to get something","out"
"20289",260805,"had a little bit",2,"had a little","bit"
"20290",260807,"me and said that",2,"me and said","that"
"20291",260813,"she checked me and",2,"she checked me","and"
"20292",260819,"the way on the",2,"the way on","the"
"20293",260875,"would be a more",2,"would be a","more"
"20294",260895,"he would like to",2,"he would like","to"
"20295",261035,"and were met by",2,"and were met","by"
"20296",261109,"are going to say",2,"are going to","say"
"20297",261120,"what they are going",2,"what they are","going"
"20298",261130,"the context of what",2,"the context of","what"
"20299",261150,"the best way of",2,"the best way","of"
"20300",261191,"she was very happy",2,"she was very","happy"
"20301",261205,"was waiting for him",2,"was waiting for","him"
"20302",261209,"are in love with",2,"are in love","with"
"20303",261230,"so she decided to",2,"so she decided","to"
"20304",261238,"friend from high school",2,"friend from high","school"
"20305",261258,"and made the decision",2,"and made the","decision"
"20306",261281,"to go the extra",2,"to go the","extra"
"20307",261300,"is usually accompanied by",2,"is usually accompanied","by"
"20308",261364,"was lots of fun",2,"was lots of","fun"
"20309",261405,"little bit each day",2,"little bit each","day"
"20310",261450,"and not a single",2,"and not a","single"
"20311",261453,"not a single word",2,"not a single","word"
"20312",261577,"in britain as an",2,"in britain as","an"
"20313",261699,"he returned to the",2,"he returned to","the"
"20314",261739,"i havent worn in",2,"i havent worn","in"
"20315",261869,"be one of my",2,"be one of","my"
"20316",261890,"not reflect well on",2,"not reflect well","on"
"20317",261902,"but i am glad",2,"but i am","glad"
"20318",261910,"i am glad for",2,"i am glad","for"
"20319",261923,"on a big adventure",2,"on a big","adventure"
"20320",261929,"and he was not",2,"and he was","not"
"20321",261954,"walked out the door",2,"walked out the","door"
"20322",261965,"and i knew he",2,"and i knew","he"
"20323",261971,"i knew he would",2,"i knew he","would"
"20324",261973,"knew he would be",2,"knew he would","be"
"20325",261990,"you have to admire",2,"you have to","admire"
"20326",262000,"the real reason i",2,"the real reason","i"
"20327",262011,"a new one i",2,"a new one","i"
"20328",262015,"get enough of them",2,"get enough of","them"
"20329",262058,"the way of course",2,"the way of","course"
"20330",262061,"way of course but",2,"way of course","but"
"20331",262166,"to the detriment of",2,"to the detriment","of"
"20332",262211,"once a week or",2,"once a week","or"
"20333",262221,"he always had a",2,"he always had","a"
"20334",262308,"and it was cute",2,"and it was","cute"
"20335",262331,"cant remember the last",2,"cant remember the","last"
"20336",262339,"went to a restaurant",2,"went to a","restaurant"
"20337",262492,"at how long it",2,"at how long","it"
"20338",262498,"i guess i am",2,"i guess i","am"
"20339",262518,"her point of view",2,"her point of","view"
"20340",262523,"and will do anything",2,"and will do","anything"
"20341",262584,"i will try my",2,"i will try","my"
"20342",262586,"my thoughts into words",2,"my thoughts into","words"
"20343",262587,"put my thoughts into",2,"put my thoughts","into"
"20344",262590,"to put my thoughts",2,"to put my","thoughts"
"20345",262591,"will try my best",2,"will try my","best"
